what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169430184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169431581
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169464070
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169531390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287169534591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169539320
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169562550
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1287169570165
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169574730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287169596558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1287169596572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1287169596572
